transaction_date,brand_name,outlet_name,channel,transaction_hour,platform_promo_spend,ad_spend,clicks,impressions,reach,actual,past_12h_tot_ord_promo,past_12h_tot_ord_nonpromo,past_12h_tot_sales_promo,past_12h_tot_sales_nonpromo,past_15d_tot_ord_promo,past_15d_tot_ord_nonpromo,past_15d_tot_sales_promo,past_15d_tot_sales_nonpromo,past_qtr_tot_ord_promo,past_qtr_tot_ord_nonpromo,past_qtr_tot_sales_promo,past_qtr_tot_sales_nonpromo
2020-01-01,Pizzeria,Pizzeria - Central,Platform A,17.0,0.0,92.53999999999999,154.0,20975.0,18336.0,non-promo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,Pizzeria,Pizzeria - Central,Platform A,20.0,0.0,92.53999999999999,154.0,20975.0,18336.0,non-promo,0.0,1.0,0.0,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02,Pizzeria,Pizzeria - Central,Platform A,20.0,0.0,92.99000000000001,160.0,22626.0,20375.0,non-promo,0.0,3.0,0.0,89.88,0.0,1.0,0.0,48.15,0.0,1.0,0.0,48.15
2020-01-02,Pizzeria,Pizzeria - Central,Platform A,10.0,0.0,92.99000000000001,160.0,22626.0,20375.0,non-promo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02,Pizzeria,Pizzeria - Central,Platform A,19.0,0.0,92.99000000000001,160.0,22626.0,20375.0,non-promo,0.0,2.0,0.0,64.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02,Pizzeria,Pizzeria - Central,Platform A,12.0,0.0,92.99000000000001,160.0,22626.0,20375.0,non-promo,0.0,1.0,0.0,34.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,Pizzeria,Pizzeria - Central,Platform A,19.0,0.0,94.47,147.0,23366.0,20726.0,non-promo,0.0,2.0,0.0,93.09,0.0,1.0,0.0,25.68,0.0,1.0,0.0,25.68
2020-01-03,Pizzeria,Pizzeria - Central,Platform A,18.0,0.0,94.47,147.0,23366.0,20726.0,non-promo,0.0,1.0,0.0,67.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,Pizzeria,Pizzeria - Central,Platform A,20.0,0.0,94.47,147.0,23366.0,20726.0,non-promo,0.0,4.0,0.0,146.59,0.0,2.0,0.0,96.3,0.0,2.0,0.0,96.3
2020-01-03,Pizzeria,Pizzeria - Central,Platform A,14.0,0.0,94.47,147.0,23366.0,20726.0,non-promo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
